Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,163869893,2099.1976891041127,4518273,57.87974878546793,546512,3398302,43.53275378826228,85489,1.0951267982082702,11335,
United States of America,Americas,32647162,9863.11,220445,66.6,23942,580983,175.52,4137,1.25,515,Community transmission
India,South-East Asia,25496330,1847.55,2155392,156.19,267334,283248,20.53,29051,2.11,4529,Clusters of cases
Brazil,Americas,15657391,7366.12,447401,210.48,29916,436537,205.37,13308,6.26,786,Community transmission
France,Europe,5802138,8920.96,95380,146.65,16288,107234,164.88,1083,1.67,192,Community transmission
Turkey,Europe,5139485,6093.84,80052,94.92,11937,45186,53.58,1597,1.89,203,Community transmission
Russian Federation,Europe,4957756,3397.25,52697,36.11,0,116575,79.88,2244,1.54,0,Clusters of cases
The United Kingdom,Europe,4450396,6555.69,10701,15.76,2412,127691,188.1,62,0.09,7,Community transmission
Italy,Europe,4167025,6986.79,43795,73.43,4449,124497,208.74,1215,2.04,201,Clusters of cases
Spain,Europe,3619848,7647.68,28892,61.04,2264,79502,167.96,186,0.39,6,Community transmission
Germany,Europe,3614095,4345.6,65810,79.13,11040,86665,104.21,1285,1.55,284,Community transmission
Argentina,Americas,3335965,7381.14,170844,378.01,28680,71027,157.15,3206,7.09,505,Community transmission
Colombia,Americas,3131410,6154.15,116109,228.19,12984,81809,160.78,3467,6.81,509,Community transmission
Poland,Europe,2859261,7532.67,16922,44.58,2337,72250,190.34,1571,4.14,330,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2779415,3309.11,88063,104.85,13930,77532,92.31,1964,2.34,310,Community transmission
Mexico,Americas,2382745,1848.05,16249,12.6,822,220493,171.01,1404,1.09,56,Community transmission
Ukraine,Europe,2165233,4950.94,36160,82.68,5138,48696,111.35,1709,3.91,227,Community transmission
Peru,Americas,1893334,5742.27,39964,121.21,4282,66471,201.6,2098,6.36,251,Community transmission
Indonesia,South-East Asia,1748230,639.15,24634,9.01,4185,48477,17.72,1012,0.37,172,Community transmission
Czechia,Europe,1655414,15479.93,6747,63.09,1195,29948,280.05,161,1.51,15,Community transmission
